Backscattered Energy
Energy (KeV)	Hits (Normalized)
12.78	0.00104672
12.79	0.000989361
12.8	0.000888991
12.81	0.00103238
12.82	0.000888991
12.83	0.000745605
12.84	0.000759944
12.85	0.00110407
12.86	0.000917668
12.87	0.000831637
12.88	0.00110407
12.89	0.000860314
12.9	0.000860314
12.91	0.000888991
12.92	0.000845975
12.93	0.000903329
12.94	0.000831637
12.95	0.000845975
12.96	0.000688251
12.97	0.000874652
12.98	0.000874652
12.99	0.000774282
13	0.000975022
13.01	0.000759944
13.02	0.000960684
13.03	0.000932007
13.04	0.000989361
13.05	0.0010037
13.06	0.000874652
13.07	0.000874652
13.08	0.00104672
13.09	0.000659574
13.1	0.000817298
13.11	0.000759944
13.12	0.000874652
13.13	0.000903329
13.14	0.000989361
13.15	0.000946345
13.16	0.000673912
13.17	0.000903329
13.18	0.000903329
13.19	0.000788621
13.2	0.000903329
13.21	0.000831637
13.22	0.000989361
13.23	0.000975022
13.24	0.000817298
13.25	0.000831637
13.26	0.000716928
13.27	0.000903329
13.28	0.000903329
13.29	0.000946345
13.3	0.0010037
13.31	0.000817298
13.32	0.000888991
13.33	0.000860314
13.34	0.00106105
13.35	0.000831637
13.36	0.00107539
13.37	0.000917668
13.38	0.00101804
13.39	0.000831637
13.4	0.000960684
13.41	0.000874652
13.42	0.000888991
13.43	0.000774282
13.44	0.000745605
13.45	0.00104672
13.46	0.000946345
13.47	0.000802959
13.48	0.00107539
13.49	0.000788621
13.5	0.000745605
13.51	0.000817298
13.52	0.000874652
13.53	0.000688251
13.54	0.000788621
13.55	0.0010037
13.56	0.000817298
13.57	0.000975022
13.58	0.000802959
13.59	0.000845975
13.6	0.000759944
13.61	0.00104672
13.62	0.000917668
13.63	0.000774282
13.64	0.000860314
13.65	0.000802959
13.66	0.000989361
